"name";"state";"Women";"American Indian / Alaska Native";"Asian";"Black";"Hispanic";"Native Hawaiian / Pacific Islander";"White";"Two Or More Races";"Unknown";"Non-Resident Foreign";"Total Minority";"total_enrollment";"early_career_pay";"mid_career_pay";"make_world_better_percent";"stem_percent";"type";"degree_length";"room_and_board";"in_state_tuition";"in_state_total";"out_of_state_tuition";"out_of_state_total";"On Campus";"Off Campus"
"University of Phoenix-Arizona";"Arizona";134722;876;1959;31455;13984;1019;58209;19039;65163;3355;68332;195059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18832
"Ivy Tech Community College-Central Indiana";"Indiana";53476;357;1369;12370;5533;0;61498;1804;8224;24;21433;91179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Liberty University";"Virginia";48329;447;856;14751;1186;151;39062;1772;22198;1036;19163;81459;NA;NA;NA;NA;"Private";"4 Year";10478;25276;35754;25276;35754;40075;38932
"Lone Star College system";"Texas";41268;168;4198;12094;23751;0;23615;1997;2273;1299;42208;69395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miami Dade College";"Florida";38323;47;655;10722;44870;41;4170;226;1927;3388;56561;66046;NA;NA;NA;NA;"Public";"2 Year";NA;3547;3547;12075;12075;NA;26678
"Grand Canyon University";"Arizona";46647;586;2446;13856;8933;295;28715;1558;5915;0;27674;62304;NA;NA;NA;NA;"For Profit";"4 Year";10100;27090;37190;27090;37190;32100;32100
"Texas A&M University at College Station";"Texas";29277;173;3545;1879;11256;59;37458;1644;383;5245;18556;61642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Central Florida";"Florida";33482;120;3343;6400;13108;129;33293;1841;1018;1515;24941;60767;49700;88600;50;16;"Public";"4 Year";9617;6368;15985;22467;32084;22548;22548
"Ohio State University";"Ohio";28658;76;3339;3108;2049;35;40283;1503;1753;6176;10110;58322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Houston Community College";"Texas";34007;116;5391;18520;18411;130;8368;880;1151;5309;43448;58276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18200
"Western Governors University";"Utah";35024;360;2195;5442;4291;288;41898;1660;1614;73;14236;57821;54500;91500;57;9;"Private";"4 Year";NA;6670;6670;6670;6670;NA;13870
"American Public University system";"West Virginia";22009;397;1106;11842;5656;526;32587;2053;2876;496;21580;57539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Walden University";"Minnesota";39871;267;1343;18914;3021;116;20280;1090;6618;539;24751;52188;NA;NA;NA;NA;"For Profit";"4 Year";NA;15045;15045;15045;15045;NA;23244
"Kaplan University at Davenport (Iowa)";"Iowa";39852;862;1032;16014;4537;311;24268;1;4693;300;22757;52018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Northern Virginia Community College";"Virginia";26506;134;7333;9085;10264;266;20097;1855;1118;1335;28937;51487;NA;NA;NA;NA;"Public";"2 Year";NA;5610;5610;11618;11618;NA;22220
"University of Texas at Austin";"Texas";26064;96;8324;1961;9836;59;24068;1576;530;4863;21852;51313;NA;NA;NA;NA;"Public";"4 Year";10804;10606;21410;37480;48284;NA;NA
"Ashford University";"California";36116;482;645;18727;4792;405;23596;1539;955;96;26590;51237;NA;NA;NA;NA;"For Profit";"4 Year";NA;12160;12160;12160;12160;NA;NA
"University of Minnesota-Twin Cities";"Minnesota";26424;163;3998;1785;1544;31;33674;1353;2223;6376;8874;51147;57200;104000;51;30;NA;NA;NA;NA;NA;NA;NA;27898;27898
"Tarrant County College District";"Texas";29419;231;2950;9407;14632;107;21176;1071;615;406;28398;50595;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18555
"Arizona State University";"Arizona";21614;651;3185;1803;8239;103;26155;1765;465;7954;15746;50320;NA;NA;NA;NA;"Public";"4 Year";12648;10822;23470;28336;40984;NA;NA
"Michigan State University";"Michigan";25767;127;2214;3196;1878;46;33115;1217;646;7642;8678;50081;55300;100800;46;20;"Public";"4 Year";10322;14460;24782;39765;50087;28862;28862
"Florida International University";"Florida";27757;42;1434;5977;31211;57;5683;1042;545;3619;39763;49610;49600;90100;51;16;"Public";"4 Year";10882;6558;17440;18956;29838;23496;25834
"University of Florida";"Florida";26820;137;3501;3151;8127;240;27317;1108;1583;4295;16264;49459;55800;102800;52;29;"Public";"4 Year";10120;6381;16501;28658;38778;21211;21211
"New York University";"New York";27153;94;7314;2374;4267;45;17326;1248;5111;11495;15342;49274;NA;NA;NA;NA;"Private";"4 Year";18156;51828;69984;51828;69984;73566;73566
"Rutgers University at New Brunswick";"New Jersey";25878;30;10850;3874;5438;123;20916;1341;1119;4687;21656;48378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Maryland University College";"Maryland";23238;218;2272;14348;4628;297;19344;1652;4454;693;23415;47906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pennsylvania State University at University Park";"Pennsylvania";21699;36;2624;1823;2468;35;31453;1082;827;6692;8068;47040;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Indiana University at Bloomington";"Indiana";23317;55;2008;1794;2056;22;32242;1411;534;6294;7346;46416;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Illinois at Urbana-Champaign";"Illinois";20271;39;6121;2186;3384;47;21777;1049;576;9961;12826;45140;62600;115300;44;36;"Public";"4 Year";11308;15094;26402;31664;42972;30102;NA
"University of Washington";"Washington";23369;233;8702;1093;2917;160;21015;2407;1580;6677;15512;44784;NA;NA;NA;NA;"Public";"4 Year";12798;11517;24315;36898;49696;NA;NA
"Broward College";"Florida";25988;84;1305;14638;15053;133;9047;742;1757;1360;31955;44119;NA;NA;NA;NA;"Public";"2 Year";NA;3540;3540;11190;11190;NA;27994
"University of Michigan at Ann Arbor";"Michigan";20886;80;4974;1742;1933;21;24810;1268;2783;6014;10018;43625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Southern New Hampshire University";"New Hampshire";26293;152;337;2373;1009;33;10846;60;27213;1251;3964;43274;NA;NA;NA;NA;"Private";"4 Year";13120;31136;44256;31136;44256;51538;51166
"Valencia College";"Florida";23884;144;1898;7490;13965;190;13600;1020;4039;871;24707;43217;NA;NA;NA;NA;"Public";"2 Year";NA;3366;3366;12828;12828;NA;16493
